股票代號,股票名稱,買進日期,賣出日期,買進價格,賣出價格,個人漲跌幅(%),同期大盤漲跌幅(%),最大虧損MAE(%),RSI_14,乖離率20MA(%),外資買賣超(股),投信買賣超(股),散戶融資增減(張),營收年增率(%)
4408,聯明,2009-05-27,2009-06-01,,,-0.39,0.92,-8.71,95.86,38.42,,,0.0,-96.0
5512,力麒,2009-05-25,2009-06-01,,,0.21,3.26,-8.58,83.65,36.33,0.0,0.0,0.0,-15.0
3083,網龍,2009-05-26,2009-06-02,,,-0.79,4.03,-7.32,90.03,46.089999999999996,0.0,0.0,0.0,61.0
5523,豐謙,2009-05-26,2009-06-02,,,-1.56,4.03,-5.89,52.68,2.67,0.0,0.0,0.0,-7.0
4415,台原藥,2009-06-02,2009-06-05,,,26.88,-2.62,0.0,79.11,30.930000000000003,0.0,0.0,0.0,114.0
6231,系微,2009-06-04,2009-06-08,,,20.04,-2.32,0.0,62.66,8.1,0.0,0.0,0.0,52.0
8049,晶采,2009-06-05,2009-06-09,,,4.22,-5.21,-4.21,76.84,27.36,0.0,0.0,0.0,-45.0
5480,統盟,2009-06-08,2009-06-10,,,-13.02,-2.5,-13.53,78.11,26.240000000000002,0.0,0.0,0.0,57.0
6290,良維,2009-06-06,2009-06-10,,,-2.36,-5.75,-3.1,65.77,9.55,0.0,0.0,0.0,-25.0
3516,亞帝歐,2009-06-29,2009-06-30,,,-1.89,0.65,-5.77,67.92,11.899999999999999,0.0,0.0,0.0,-31.0
3546,宇峻,2009-06-29,2009-07-01,,,-17.51,2.96,-15.5,56.35,13.819999999999999,0.0,0.0,0.0,194.0
3312,弘憶股,2009-07-10,2009-07-15,,,2.48,0.15,0.0,75.9,18.77,0.0,0.0,0.0,23.0
4530,宏易,2009-07-10,2009-07-15,,,-7.15,0.15,-12.54,75.76,16.79,0.0,0.0,0.0,-36.0
4105,東洋,2009-07-15,2009-07-20,,,16.21,3.25,0.0,77.23,19.21,0.0,0.0,0.0,39.0
5523,豐謙,2009-07-15,2009-07-20,,,3.39,3.25,0.0,66.22,9.04,0.0,0.0,0.0,78.0
3083,網龍,2009-07-20,2009-07-23,,,-2.18,0.73,-6.8,76.13,17.7,0.0,0.0,0.0,64.0
6173,信昌電,2009-09-17,2009-09-22,,,-1.72,-0.1,-3.6,70.86,11.01,0.0,0.0,0.0,-4.0
5340,建榮,2009-09-18,2009-09-23,,,-1.55,-1.98,-7.49,95.71,48.84,0.0,0.0,0.0,25.0
1333,恩得利,2009-09-21,2009-09-24,,,-6.97,-2.37,-6.64,87.07,37.62,0.0,0.0,0.0,0.0
3553,力積,2009-09-22,2009-09-25,,,-3.46,-1.66,-2.74,95.76,21.89,0.0,0.0,0.0,22.0
3221,台嘉碩,2009-09-23,2009-09-28,,,7.11,-1.25,-0.47,84.39,26.86,0.0,0.0,0.0,-5.0
3360,尚立,2009-09-25,2009-09-30,,,5.91,2.23,0.0,91.66,47.010000000000005,0.0,0.0,0.0,8.0
5349,先豐,2009-09-28,2009-10-01,,,-7.85,3.58,-11.27,92.8,39.53,0.0,0.0,0.0,10.0
5381,光譜,2009-09-28,2009-10-01,,,0.33,3.58,-6.04,71.43,19.38,0.0,0.0,0.0,-9.0
5310,天剛,2009-10-05,2009-10-08,,,1.76,0.88,0.0,69.94,14.000000000000002,0.0,0.0,0.0,24.0
5213,亞昕,2009-10-28,2009-11-02,,,-9.33,-2.64,-7.79,60.45,2.9499999999999997,0.0,0.0,0.0,-38.0
3431,長天,2009-11-03,2009-11-06,,,0.92,1.91,-4.65,87.65,34.54,0.0,0.0,0.0,-13.0
1333,恩得利,2009-12-10,2009-12-15,,,13.6,1.69,-4.81,91.28,32.5,0.0,0.0,0.0,25.0
3164,景岳,2009-12-10,2009-12-15,,,-7.59,1.69,-6.69,87.79,42.02,0.0,0.0,0.0,97.0
5326,漢磊,2009-12-16,2009-12-21,,,10.98,0.46,0.0,84.95,30.43,0.0,0.0,0.0,16.0
8049,晶采,2009-12-16,2009-12-21,,,-1.74,0.46,-5.18,86.47,27.24,0.0,0.0,0.0,20.0
4530,宏易,2010-01-05,2010-01-08,,,-9.8,0.85,-9.49,61.36,3.9600000000000004,0.0,0.0,0.0,-7.0
8092,建暐,2010-01-07,2010-01-08,,,-13.6,0.53,-6.96,85.78,38.800000000000004,0.0,0.0,0.0,34.0
3577,泓格,2010-01-06,2010-01-11,,,-14.65,-0.05,-14.15,93.7,51.73,0.0,0.0,0.0,1.0
6248,沛波,2010-01-07,2010-01-12,,,0.29,0.87,-8.7,85.1,34.12,0.0,0.0,0.0,17.0
6291,沛亨,2010-01-07,2010-01-12,,,10.18,0.87,-0.61,73.54,22.84,0.0,0.0,0.0,34.0
8092,建暐,2010-01-11,2010-01-12,,,1.47,-0.17,0.0,76.65,24.15,0.0,0.0,0.0,34.0
5345,馥鴻,2010-01-08,2010-01-13,,,7.7,-1.02,0.0,79.11,28.88,0.0,0.0,0.0,67.0
6150,撼訊,2010-01-08,2010-01-13,,,10.38,-1.02,-0.05,82.02,26.400000000000002,0.0,0.0,0.0,91.0
6223,旺矽,2010-01-12,2010-01-15,,,10.38,0.57,0.0,64.52,8.129999999999999,0.0,0.0,0.0,8.0
3360,尚立,2010-01-26,2010-01-27,,,-10.16,-0.51,-13.37,74.03,26.369999999999997,0.0,0.0,0.0,33.0
5450,南良,2010-01-22,2010-01-27,,,-6.91,-4.63,-6.39,75.39,18.45,0.0,0.0,0.0,93.0
8277,商丞,2010-03-10,2010-03-15,,,-0.91,-1.85,-1.79,73.73,6.15,0.0,0.0,0.0,553.0
5410,國眾,2010-03-17,2010-03-22,,,2.58,-0.15,-3.91,52.92,5.8999999999999995,0.0,0.0,0.0,24.0
4131,浩泰,2010-03-19,2010-03-24,,,-6.22,-0.95,-11.41,82.48,23.66,0.0,0.0,0.0,-26.0
3537,堡達,2010-03-22,2010-03-25,,,20.87,0.03,0.0,91.82,35.05,0.0,0.0,0.0,54.0
5356,協益,2010-03-31,2010-04-06,,,-6.49,2.14,-10.5,97.28,46.06,0.0,0.0,0.0,-1.0
6175,立敦,2010-04-06,2010-04-09,,,-3.12,0.03,-8.95,86.33,36.01,0.0,0.0,0.0,39.0
3577,泓格,2010-04-08,2010-04-13,,,10.47,-0.35,0.0,28.64,-7.86,0.0,0.0,0.0,4.0
6217,中探針,2010-04-12,2010-04-15,,,3.87,0.67,-8.77,75.93,31.919999999999998,0.0,0.0,0.0,158.0
6140,訊達,2010-04-21,2010-04-26,,,11.59,2.1,0.0,75.1,17.2,0.0,0.0,0.0,149.0
5345,馥鴻,2010-04-27,2010-04-30,,,2.03,-1.75,-5.65,59.11,12.73,0.0,0.0,0.0,38.0
5505,和旺,2010-05-05,2010-05-10,,,-1.13,-0.42,-0.97,74.67,9.11,0.0,0.0,0.0,79.0
8121,越峰,2010-06-09,2010-06-14,,,7.8,4.47,-2.83,56.3,5.390000000000001,0.0,0.0,0.0,74.0
8097,常珵,2010-06-29,2010-07-02,,,-8.36,-1.22,-14.04,88.52,46.32,0.0,0.0,0.0,67.0
5356,協益,2010-07-08,2010-07-13,,,0.24,0.06,-2.6,43.2,-2.29,0.0,0.0,0.0,113.0
4304,勝昱,2010-07-13,2010-07-16,,,16.08,1.23,-0.83,93.8,47.94,0.0,0.0,0.0,15.0
6175,立敦,2010-08-11,2010-08-16,,,10.49,0.96,-5.6,100.0,44.13,0.0,0.0,0.0,24.0
4102,永日,2010-08-19,2010-08-24,,,-0.39,0.21,-1.06,93.27,33.48,0.0,0.0,0.0,107.0
8916,光隆,2010-08-27,2010-09-01,,,2.34,-0.71,-0.05,70.0,14.34,0.0,0.0,0.0,24.0
5511,德昌,2010-10-15,2010-10-20,,,-5.28,-0.98,-3.44,92.61,29.459999999999997,0.0,0.0,0.0,-41.0
3630,新鉅科,2010-12-03,2010-12-08,,,0.17,0.93,-4.29,71.25,7.9799999999999995,0.0,0.0,0.0,77.0
5530,龍巖,2010-12-31,2011-01-05,,,10.21,-1.41,0.0,51.96,-3.54,0.0,0.0,0.0,-83.0
4712,南璋,2011-02-18,2011-02-23,,,5.48,-3.56,0.0,63.21,13.11,0.0,0.0,0.0,285.0
8109,博大,2011-03-04,2011-03-09,,,4.41,-0.39,-0.05,73.51,17.5,0.0,0.0,0.0,62.0
3615,安可,2011-03-09,2011-03-14,,,9.95,-2.63,0.0,97.06,46.18,0.0,0.0,0.0,125.0
3218,大學光,2011-03-15,2011-03-16,,,-1.41,1.09,-1.57,74.79,24.54,0.0,0.0,0.0,13.0
4712,南璋,2011-04-08,2011-04-20,,,18.99,-0.91,0.0,46.19,-7.249999999999999,0.0,0.0,0.0,493.0
